Category,Precision,Recall,F1-Score,Support
STYLE & BEAUTY,0.8766101694915254,0.8783967391304348,0.8775025449609772,1472.0
WEDDINGS,0.8954372623574145,0.8594890510948905,0.8770949720670391,548.0
TRAVEL,0.8405511811023622,0.8626262626262626,0.8514456630109671,1485.0
DIVORCE,0.8682008368200836,0.8073929961089494,0.8366935483870968,514.0
HOME & LIVING,0.8305343511450382,0.8395061728395061,0.8349961627014582,648.0
POLITICS,0.8199191473722895,0.8355805243445693,0.8276757558894454,5340.0
QUEER VOICES,0.8325688073394495,0.7626050420168067,0.7960526315789473,952.0
SPORTS,0.7532467532467533,0.8372703412073491,0.7930391547545059,762.0
FOOD & DRINK,0.7751046025104602,0.7791798107255521,0.7771368641845832,951.0
WELLNESS,0.6872106481481481,0.8822436849925706,0.7726089785296031,2692.0
ENTERTAINMENT,0.7350278551532033,0.8106758832565284,0.7710007304601899,2604.0
PARENTING,0.6720297029702971,0.8233510235026535,0.7400340715502556,1319.0
CRIME,0.6406779661016949,0.7078651685393258,0.6725978647686833,534.0
RELIGION,0.6854838709677419,0.6589147286821705,0.6719367588932806,387.0
STYLE,0.7560975609756098,0.5502958579881657,0.636986301369863,338.0
TECH,0.6304347826086957,0.6424050632911392,0.6363636363636364,316.0
WORLDPOST,0.6804733727810651,0.5943152454780362,0.6344827586206897,387.0
SCIENCE,0.6794425087108014,0.5891238670694864,0.6310679611650486,331.0
MEDIA,0.6426799007444168,0.5859728506787331,0.6130177514792899,442.0
COLLEGE,0.6094674556213018,0.5988372093023255,0.6041055718475073,172.0
COMEDY,0.6,0.5962962962962963,0.5981424148606811,810.0
THE WORLDPOST,0.5939278937381404,0.5690909090909091,0.5812441968430826,550.0
BUSINESS,0.5770925110132159,0.5828698553948832,0.5799667957941339,899.0
MONEY,0.5730337078651685,0.5817490494296578,0.5773584905660377,263.0
ENVIRONMENT,0.6776315789473685,0.47465437788018433,0.5582655826558266,217.0
BLACK VOICES,0.5969387755102041,0.5109170305676856,0.5505882352941176,687.0
ARTS,0.5679611650485437,0.5176991150442478,0.5416666666666666,226.0
ARTS & CULTURE,0.5872093023255814,0.5024875621890548,0.5415549597855228,201.0
CULTURE & ARTS,0.6697247706422018,0.453416149068323,0.5407407407407407,161.0
GREEN,0.49137931034482757,0.5801526717557252,0.5320886814469078,393.0
LATINO VOICES,0.5675675675675675,0.4970414201183432,0.5299684542586751,169.0
WORLD NEWS,0.51,0.5151515151515151,0.5125628140703518,495.0
HEALTHY LIVING,0.5759162303664922,0.43824701195219123,0.497737556561086,1004.0
TASTE,0.5211267605633803,0.4713375796178344,0.49498327759197325,314.0
PARENTS,0.6705202312138728,0.3912310286677909,0.4941427050053248,593.0
EDUCATION,0.4838709677419355,0.4934210526315789,0.48859934853420195,152.0
WEIRD NEWS,0.5162162162162162,0.4580335731414868,0.48538754764930114,417.0
FIFTY,0.6165413533834586,0.3904761904761905,0.478134110787172,210.0
WOMEN,0.5221445221445221,0.417910447761194,0.46424870466321244,536.0
IMPACT,0.5340314136125655,0.390057361376673,0.450828729281768,523.0
GOOD NEWS,0.4927536231884058,0.3238095238095238,0.39080459770114945,210.0
U.S. NEWS,0.4744525547445255,0.3155339805825243,0.37900874635568516,206.0
